Source_ID,Target_ID,Edge type,Weight,Source_Name,Target_Name,Date,Total no. sender:,Total no. recipient:,ID Letters 1916,Item type,Contributor,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,25 December 1922,16,90,6212,Letter ,Kerry Library Tralee,
per_028,per_094,directed,1,Ellen Daly,Susan Daly,25 March 1923,16,23,6414,Letter ,Kerry Library Tralee,
per_028,per_094,directed,1,Ellen Daly,Susan Daly,26 January 1923,16,23,6613,Letter ,Kerry Library Tralee,
per_028,per_042,directed,1,Ellen Daly,Katherine Allman,28 March 1923,16,15,6637,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,4 February 1923,16,90,6220,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,7 January 1923,16,90,6216,Letter ,Kerry Library Tralee,
per_028,per_094,directed,1,Ellen Daly,Susan Daly,8 May 1923,16,23,6418,Letter ,Kerry Library Tralee,
per_028,per_047,directed,1,Ellen Daly,William / Willie / Liam Daly,9 April 1923,16,12,6438,Letter ,Kerry Library Tralee,
per_028,per_013,directed,1,Ellen Daly,Charlie / Cormac Daly,December 1922,16,90,6618,Letter ,Kerry Library Tralee,
per_029,per_013,directed,1,Ellen Mary / Nellie Daly,Charlie / Cormac Daly,[December 1922],2,90,6460,Letter ,Kerry Library Tralee,
per_029,per_094,directed,1,Ellen Mary / Nellie Daly,Susan Daly,26 January 1923,2,23,6461,Letter ,Kerry Library Tralee,
